"Núm.","Descrição","Qtd. Comercial","Unid. Comercial","Valor Líquido do Item","Informações Adicionais do Produto","Cód. Produto","Cód. GTIN","Cód. NCM","Código Especificador da Substituição Tributária","CFOP","Valor Unit.","Valor Bruto","Regra de Cálculo","Valor do Desconto","Outras Despesas Acessórias","Rateio do Desconto Sobre Subtotal","Rateio do Acréscimo Sobre Subtotal","Observações Fisco","Origem da Mercadoria","Tributação do ICMS","Cód. de Situação da Operação - Simples Nacional","Alíquota Efetiva","Valor do ICMS","Código de Situação Tributária PIS","Valor da Base de Cálculo do PIS","Alíquota do PIS(%)","Quantidade Vendida PIS","Alíquota do PIS","Valor do PIS","Valor da Base de Cálculo do PIS ST","Alíquota do PIS ST(%)","Quantidade Vendida PIS ST","Alíquota do PIS ST","Valor do PIS ST","Código de Situação Tributária da COFINS","Valor da Base de Cálculo da COFINS","Alíquota da COFINS(%)","Valor da COFINS","Quantidade Vendida COFINS","Alíquota da COFINS","Valor da Base de Cálculo da COFINS ST","Alíquota da COFINS ST(%)","Valor da COFINS ST","Quantidade Vendida COFINS ST","Alíquota da COFINS ST","Valor de Deduções para ISSQN","Valor da Base de Cálculo do ISSQN","Alíquota do ISSQN","Valor do ISSQN","Item da Lista de Serviços","Código do Município do Fato Gerador do ISSQN","Código de Tributação pelo ISSQN do Município","Natureza da Operação de ISSQN","Incentivo Fiscal do ISSQN","Valor Aproximado dos Tributos do Produto ou Serviço – Lei 12741/12"
"15","BATATA - O QUILO","0,9200","kg","5,51","Não Informado","117","Não Informado","07019000","Não Informado","5102","5,990","5,51","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","40 - Valor Isento","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","1,22"
"16","BANANA PRATA - O QUILO","1,4900","kg","8,93","Não Informado","167","Não Informado","08039000","Não Informado","5102","5,990","8,93","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","40 - Valor Isento","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","1,97"
"17","UVA CRIMSON 500g","1,0000","UN","7,99","Não Informado","7896519203437","7896519203437","08061000","Não Informado","5102","7,990","7,99","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","40 - Valor Isento","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","1,76"
"18","MANTEIGA PAULISTA 200g S","1,0000","UN","7,49","Não Informado","7891025114291","7891025114291","04051000","1702500","5405","7,490","7,49","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","60 - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","0,83"
"19","REQUEIJAO P.CALDAS 200g","1,0000","UN","5,49","Não Informado","7898955617397","7898955617397","04061090","1702404","5405","6,290","6,29","A","0,80","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","60 - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","0,88"
"20","GUARD.MASCOT 50UN F.DUPL","1,0000","UN","3,25","Não Informado","7896075300984","7896075300984","48183000","2004600","5405","3,250","3,25","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","60 - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação","Não Informado","Não Informado","Não Informado","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","3,25","0,0165","Não Informado","Não Informado","0,0500","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","3,25","0,0760","0,25","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","0,84"
"21","FILE PEITO FRANGO BIFES","0,4700","kg","9,40","Não Informado","459","2045900000000","02013000","1708400","5102","19,990","9,40","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","00 - Tributada integralmente","Não Informado","4,70","0,44","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","1,51"
"22","FILE PEITO FRANGO BIFES","0,4900","kg","9,80","Não Informado","459","2045900000000","02013000","1708400","5102","19,990","9,80","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","00 - Tributada integralmente","Não Informado","4,70","0,46","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","1,58"
"23","PERNIL DT.SOSSO DE PORC","0,9500","kg","23,73","Não Informado","448","Não Informado","02071300","1708700","5102","24,980","23,73","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","00 - Tributada integralmente","Não Informado","4,70","1,12","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","3,83"
"24","M.VERDE PRATIGEL 200g","1,0000","UN","2,99","Não Informado","7897497600218","7897497600218","07104000","1708801","5102","2,990","2,99","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","40 - Valor Isento","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","0,65"
"25","M.VERDE PRATIGEL 200g","1,0000","UN","2,99","Não Informado","7897497600218","7897497600218","07104000","1708801","5102","2,990","2,99","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","40 - Valor Isento","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","0,65"
"26","SAB.PHEBO 100g LIMAO SIC","1,0000","UN","4,15","Não Informado","7896512921789","7896512921789","34011190","2802000","5405","4,150","4,15","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","60 - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","06 - Operação Tributável (Alíquota zero)","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","1,11"
"27","ODOR.AMB.GLADE 12ML RF","1,0000","UN","11,59","Não Informado","7894650001462","7894650001462","33074900","Não Informado","5102","11,590","11,59","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","00 - Tributada integralmente","Não Informado","18,00","2,09","04 - Operação Tributável (operação monofásica (alíquota zero))","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","04 - Operação Tributável (tributação monofásica (alíquota zero))","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","6,53"
"28","COND.CHIKAS 300ML ACORDA","1,0000","UN","11,99","Não Informado","7898132981235","7898132981235","33059000","2002100","5405","11,990","11,99","A","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","0 - Nacional, exceto as indicadas nos códigos 3, 4, 5 e 8","60 - ICMS cobrado anteriormente por substituição tributária (substituído) ou por antecipação","Não Informado","Não Informado","Não Informado","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","11,99","0,0165","Não Informado","Não Informado","0,2000","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","01 - Operação Tributável (base de cálculo = valor da operação alíquota normal (cumulativo / não cumulativo))","11,99","0,0760","0,91","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","Não Informado","2 - Não","6,76"
